code	eng	ger	fre	ita	spa	por	jpn	chi	rus	ara
tp.yes	Yes	Ja	Oui	Sì	Sí	Sim	賛成	赞成	Да	نعم
tp.turnout	Turnout	Wahlbeteiligung	Participation	Partecipazione	Participación	Participação	投票率	参与率	Участие	نسبة المشاركة
tp.accepted	Accepted	angenommen	accepté	accettato	aceptado	aprovado	可決	通过	Одобрено	تمت الموافقة عليه
tp.refused	Rejected	abgelehnt	rejeté	respinto	rechazado	rejeitado	否決	否决	Отклонено	تم رفضه
title.initiative	People's initiatives	Volksinitiativen	Initiatives populaires	Iniziative popolari	Iniciativas populares	Iniciativas populares	イニシアチブ（国民発議）	公民动议	Народная законодательная инициатива	مبادرات شعبية
title.mandatoryReferendum	Mandatory referendums	Obligatorische Referenden	Référendums obligatoires	Referendum obbligatori	Referéndums obligatorios	Referendo obrigatório	強制的レファレンダム	强制复决	Обязательный референдум	استفتاءات إجبارية
title.facultativeReferendum	Optional referendums	Fakultative Referenden	Référendums facultatifs	Referendum facoltativi	Referéndums facultativos	Referendo facultativo	任意のレファレンダム	公民复决	Факультативный референдум	استفتاءات اختيارية
source1	source:	Quelle:	source:	fonte:	fuente	fonte:	出典	来源：	Источник:	المصدر
source2	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch	c2d.ch
sourceLink	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing